id,name,parameter.id,parameter.name,parameter.units,parameter.displayName,datetimeFirst.utc,datetimeFirst.local,datetimeLast.utc,datetimeLast.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local,latest.datetime.utc,latest.datetime.local,latest.value,latest.coordinates.latitude,latest.coordinates.longitude,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-03-29T06:00:00Z,2025-03-29T07:00:00+01:00,1,01:00:00,1570,1570:00:00,157000.0,157000.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-03-29T06:00:00Z,2025-03-29T07:00:00+01:00,2025-03-29 06:00:00+00:00,2025-03-29 07:00:00+01:00,290.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-03-30T06:00:00Z,2025-03-30T08:00:00+02:00,1,01:00:00,1593,1593:00:00,159300.0,159300.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-03-30T06:00:00Z,2025-03-30T08:00:00+02:00,2025-03-30 06:00:00+00:00,2025-03-30 08:00:00+02:00,280.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-03-31T03:00:00Z,2025-03-31T05:00:00+02:00,1,01:00:00,1613,1613:00:00,161300.0,161300.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-03-31T03:00:00Z,2025-03-31T05:00:00+02:00,2025-03-31 03:00:00+00:00,2025-03-31 05:00:00+02:00,280.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-01T06:00:00Z,2025-04-01T08:00:00+02:00,1,01:00:00,1633,1633:00:00,163300.0,163300.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-01T06:00:00Z,2025-04-01T08:00:00+02:00,2025-04-01 06:00:00+00:00,2025-04-01 08:00:00+02:00,370.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-02T06:00:00Z,2025-04-02T08:00:00+02:00,1,01:00:00,1652,1652:00:00,165200.0,165200.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-02T06:00:00Z,2025-04-02T08:00:00+02:00,2025-04-02 06:00:00+00:00,2025-04-02 08:00:00+02:00,340.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-03T06:00:00Z,2025-04-03T08:00:00+02:00,1,01:00:00,1673,1673:00:00,167300.0,167300.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-03T06:00:00Z,2025-04-03T08:00:00+02:00,2025-04-03 06:00:00+00:00,2025-04-03 08:00:00+02:00,370.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-04T06:00:00Z,2025-04-04T08:00:00+02:00,1,01:00:00,1695,1695:00:00,169500.0,169500.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-04T06:00:00Z,2025-04-04T08:00:00+02:00,2025-04-04 06:00:00+00:00,2025-04-04 08:00:00+02:00,420.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-05T05:00:00Z,2025-04-05T07:00:00+02:00,1,01:00:00,1717,1717:00:00,171700.0,171700.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-05T05:00:00Z,2025-04-05T07:00:00+02:00,2025-04-05 05:00:00+00:00,2025-04-05 07:00:00+02:00,400.0,42.46400000020954,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-06T05:00:00Z,2025-04-06T07:00:00+02:00,1,01:00:00,1739,1739:00:00,173900.0,173900.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-06T05:00:00Z,2025-04-06T07:00:00+02:00,2025-04-06 05:00:00+00:00,2025-04-06 07:00:00+02:00,410.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
7773515,co µg/m³,4,co,µg/m³,CO mass,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-07T06:00:00Z,2025-04-07T08:00:00+02:00,1,01:00:00,1762,1762:00:00,176200.0,176200.0,2024-01-28T23:00:00Z,2024-01-29T00:00:00+01:00,2025-04-07T06:00:00Z,2025-04-07T08:00:00+02:00,2025-04-07 06:00:00+00:00,2025-04-07 08:00:00+02:00,450.0,42.46400000020953,-2.4279999995861625,220.0,,,,,,1400.0,681.1764705882352,
